IEDB field	Example values	NDE field suggestion	Notes
Assigned broad measured variable	GO:0006955 immune response	variableMeasured	Use on the Assays collection alongside source-defined AssayTypeList response terms. Do not mechanically copy measurement fields to References or Receptors collections.
Assigned citation guidance	https://discuss.iedb.org/t/citing-the-iedb/63	usageInfo	Emit a typed CreativeWork instructing users to cite both source authors and IEDB.
Deterministic smallest tab member	Epitope 68; source antigen taxon_protein:10002316-other; T-cell assay 7127; BCR group 183965; reference 406	exampleOfWork	Choose independently within each tab after stable deduplication. The listed examples were returned by exact NCBITaxon:227984 Query API filters and are illustrative cross-checks.
Assigned generation provenance	XML export + exact-organism grouping + tab projection steps	isBasedOn	Emit typed Action, ResourceCatalog, and tab-specific Query API CreativeWork objects describing how each collection was generated.
No confirmed unambiguous source field		infectiousAgent	Do not assign in the first pass. IEDB records host organisms and several source-organism roles; determine whether and when a source organism represents an infectious agent only after inspecting representative records and ObjectType-specific behavior.
No stable source sample identity		sample	Omit in the first pass. Assay-level hosts and cohorts cannot be merged safely without a reviewed identity rule.
No valid DataCollection property		distribution	Omit. Preserve the complete export URL in isBasedOn.
No valid emitted value		version	Omit top-level version; use includedInDataCatalog.versionDate and exampleOfWork.schemaVersion.
			
EXAMPLE GENERATED NDE RECORDS			
Epitopes-tab example	{"@context":"http://schema.org/","@type":"DataCollection","_id":"iedb_epitopes_227984","identifier":"IEDB:EPITOPES:227984","name":"IEDB epitopes from SARS coronavirus Tor2","description":"IEDB epitope records directly associated with SARS coronavirus Tor2 (NCBITaxon:227984).","url":"https://query-api.iedb.org/epitope_search?source_organism_iris=cs.%7BNCBITaxon%3A227984%7D","collectionSize":{"@type":"QuantitativeValue","value":9310,"unitText":"epitopes"},"about":{"@type":"DefinedTerm","name":"Epitope","url":"http://purl.obolibrary.org/obo/NCIT_C13189"},"hasPart":[{"@type":"CreativeWork","identifier":"IEDB_EPITOPE:68","url":"https://www.iedb.org/epitope/68"}],"species":{"@type":"DefinedTerm","name":"SARS coronavirus Tor2","identifier":"227984"}}	nde:DataCollection	Illustrative and abbreviated Epitopes sibling. Calculate final count and members from the selected XML release.
Antigens-tab example	{"@context":"http://schema.org/","@type":"DataCollection","_id":"iedb_antigens_227984","identifier":"IEDB:ANTIGENS:227984","name":"IEDB antigens from SARS coronavirus Tor2","description":"IEDB source-antigen records directly associated with SARS coronavirus Tor2 (NCBITaxon:227984).","url":"https://query-api.iedb.org/antigen_search?source_organism_iris=cs.%7BNCBITaxon%3A227984%7D","collectionSize":{"@type":"QuantitativeValue","value":16,"unitText":"antigens"},"about":{"@type":"DefinedTerm","name":"Antigen"},"hasPart":[{"@type":"CreativeWork","identifier":"taxon_protein:10002316-other","url":"https://ontology.iedb.org/taxon-protein/10002316-other"}],"species":{"@type":"DefinedTerm","name":"SARS coronavirus Tor2","identifier":"227984"}}	nde:DataCollection	Illustrative and abbreviated Antigens sibling. Confirm the XML-to-antigen_search crosswalk before implementation.
Assays-tab example	{"@context":"http://schema.org/","@type":"DataCollection","_id":"iedb_assays_227984","identifier":"IEDB:ASSAYS:227984","name":"IEDB assays from SARS coronavirus Tor2","description":"IEDB T-cell, B-cell, and MHC assay records directly associated with SARS coronavirus Tor2 (NCBITaxon:227984).","url":"https://www.iedb.org/result_v3.php","collectionSize":{"@type":"QuantitativeValue","value":23706,"unitText":"assays"},"about":{"@type":"DefinedTerm","name":"immune epitope assay","url":"http://purl.obolibrary.org/obo/OBI_1110128"},"hasPart":[{"@type":"CreativeWork","identifier":"IEDB_ASSAY:7127","url":"https://www.iedb.org/assay/7127"}],"species":{"@type":"DefinedTerm","name":"SARS coronavirus Tor2","identifier":"227984"}}	nde:DataCollection	Illustrative and abbreviated Assays sibling. The example count sums current exact-filter tcell_search, bcell_search, and mhc_search results; deduplicate the XML union for the final count.
Receptors-tab example	{"@context":"http://schema.org/","@type":"DataCollection","_id":"iedb_receptors_227984","identifier":"IEDB:RECEPTORS:227984","name":"IEDB receptors from SARS coronavirus Tor2","description":"IEDB TCR and BCR receptor-group records directly associated with SARS coronavirus Tor2 (NCBITaxon:227984).","url":"https://www.iedb.org/result_v3.php","collectionSize":{"@type":"QuantitativeValue","value":5,"unitText":"receptors"},"about":{"@type":"DefinedTerm","name":"Immune receptor"},"hasPart":[{"@type":"CreativeWork","identifier":"IEDB_RECEPTOR:183965","additionalType":"BCR"}],"species":{"@type":"DefinedTerm","name":"SARS coronavirus Tor2","identifier":"227984"}}	nde:DataCollection	Illustrative and abbreviated Receptors sibling. The exact-filter API example has BCR results but no TCR results for this organism; confirm XML receptor paths.
References-tab example	{"@context":"http://schema.org/","@type":"DataCollection","_id":"iedb_references_227984","identifier":"IEDB:REFERENCES:227984","name":"IEDB references for SARS coronavirus Tor2","description":"IEDB source references directly associated with SARS coronavirus Tor2 (NCBITaxon:227984).","url":"https://query-api.iedb.org/reference_search?source_organism_iris=cs.%7BNCBITaxon%3A227984%7D","collectionSize":{"@type":"QuantitativeValue","value":16,"unitText":"references"},"about":{"@type":"DefinedTerm","name":"IEDB source reference"},"hasPart":[{"@type":"ScholarlyArticle","identifier":"IEDB_REFERENCE:406","name":"Identification of immunodominant sites on the spike protein of severe acute respiratory syndrome (SARS) coronavirus: implication for developing SARS diagnostics and vaccines.","url":"https://www.iedb.org/reference/406"}],"species":{"@type":"DefinedTerm","name":"SARS coronavirus Tor2","identifier":"227984"}}	nde:DataCollection	Illustrative and abbreviated References sibling. Route direct submissions as CreativeWork rather than ScholarlyArticle.
			
COLLECTION-SCOPE DECISIONS AND OPEN QUESTIONS			
[scope] Record boundary	Exact primary source OrganismId × Epitopes, Antigens, Assays, Receptors, or References tab	One DataCollection per non-empty tab per species or strain	Species and strains remain separate; do not aggregate children into parents. A qualifying organism can yield up to five sibling records.
[scope] Tab projection	One IEDB filtered result set displayed through five tabs	Project distinct member sets	Match the site model: Epitopes by EpitopeId, Antigens by source-antigen IRI, Assays by typed assay ID, Receptors by receptor-group IRI, and References by ReferenceId.
[scope] Eligible NCBI nodes	Rank species and descendants below species	Include	OrganismList has no rank field, so rank/lineage must be resolved through NCBI Taxonomy or UniProt.
[scope] Higher-rank nodes	Genus, family, order, and broader	Exclude in first pass	Report excluded IDs and epitope counts rather than silently reinterpreting them as species.
[scope] IEDB-only strain nodes	OrganismId + ParentTaxId + name, but no TaxId	Include after deterministic strain review	Never send an internal OrganismId to NCBI or UniProt as though it were a TaxId.
[scope] Complex ObjectType sources	Natural source, peptide source, molecule source, cell source, recombinant host	Needs domain review	Define field precedence per ObjectType and compare representative results with Query API curated_source_antigens.
[scope] Duplicate members	The same entity can occur under many references, epitopes, assays, or source-organism roles	Deduplicate inside each tab collection	Use the tab's stable member key. The same entity may still belong to multiple exact organism collections when it is directly associated with each organism.
[scope] Empty organism/tab combinations	No qualifying members for one or more tabs	Skip the empty sibling only	Do not emit empty tab collections. An organism can therefore yield fewer than five records.
[scope] Large collections	Potentially thousands to millions of members depending on organism and tab	Do not silently truncate	Measure generated document size separately by tab and establish an explicit hasPart or segmentation policy if index limits are approached.
[scope] Reference scale	Many articles and direct submissions per organism	References-tab members; citations elsewhere	Deduplicate tab members by ReferenceId. Deduplicate supporting article citations by PMID then ReferenceId. Avoid representing submissions as ScholarlyArticle.
[scope] Assay detail scale	TCell, BCell, MhcBinding, and MhcLigandElution branches	Assays-tab members	Union and deduplicate typed assay IDs for collectionSize and hasPart. Retain detailed measurements on the Assays exampleOfWork; aggregate technique and response terms on relevant sibling records.
[scope] Receptor detail scale	TCR and BCR receptor groups exposed as separate Query API views	Receptors-tab members	Union by receptor-group IRI. Confirm the corresponding XML receptor paths before treating the API crosswalk as complete.
[scope] Host/sample identity	Repeated assay-level host metadata without stable cohort IDs	Omit sample in first pass	Revisit only after a reviewed rule can prevent unrelated cohorts from being merged.
[scope] Host organism versus infectious agent	HostOrganism.OrganismId and several SourceOrganismId paths	Unresolved after first pass	Keep assay hosts separate from epitope/source organisms. Test representative records to determine whether infectious agents have a consistent field or require role- and context-based derivation; do not infer infectiousAgent from taxonomy alone.
[scope] Disease labels	DiseaseState text without consistent exported ontology IDs	healthCondition.name	Emit name-only terms for shared standardization; do not invent DOID or ONTIE identifiers.
[scope] Specific assay ontology mappings	AssayTypeList supplies names, responses, and units but not OBI IDs	Source-defined measurementTechnique terms	Add an IEDB measurement-technique lookup before replacing them with specific ontology terms.
[scope] Exact versus descendant filters	Query API *_iri_search follows taxonomy parentage	XML exact OrganismId is authoritative	Use exact source-organism API fields for links and cross-checks where supported. Never substitute a parent-aware API count for the species/strain-specific XML count.
[scope] Stable record URL	Single-view tabs have exact filtered Query API URLs; combined tabs have several component views	Tab query or IEDB results page	Use the tab's filtered Query API URL for Epitopes, Antigens, and References. Use result_v3.php plus all component queries in isBasedOn for Assays and Receptors. Use the export page for IEDB-only nodes.
[scope] _id decision	Tab key + numeric OrganismId identifies an IEDB collection	Prefix as iedb_{tab}_{OrganismId}	Prevents sibling tab collections from merging with one another, a taxon record, or another source's taxon-keyed collection.
